Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListServiceGIN,10,1050,470,1373,290.77,100.000%,5.17063,10548.11,143.12,2088965.0
http://192.168.2.5/ACCSSPLDRYRUN/Home/GetPlant,30,14,1,82,21.76,0.000%,.35626,0.09,0.16,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Master/GetPageAccessDetails,30,21,1,204,40.58,0.000%,.35645,0.09,0.15,265.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPlant,20,15,1,90,24.18,0.000%,.23781,0.06,0.08,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/ServiceGIN,10,256,117,494,126.37,100.000%,1.95925,136.78,63.61,71490.1
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetApplicationPreferencesSetting,10,7,5,10,1.26,0.000%,2.01613,1.20,0.91,609.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetServiceGRNTypeList,10,1542,4,15355,4604.24,10.000%,.49242,2.41,0.23,5021.2
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorDropdownListByGin,10,3,2,6,1.54,0.000%,.49249,0.12,0.24,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Notification/Getnotitfication,30,9,1,225,39.96,0.000%,.37039,0.09,0.16,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/FillCustomerNVendorPoNSoDropdownList,10,370,34,494,124.26,100.000%,.49174,22.61,0.24,47080.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetPoSoDeatils,10,50,26,180,44.03,0.000%,.49920,0.34,0.24,707.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetStorePlantGrnTypeWise,10,4,4,8,1.25,0.000%,.49988,0.26,0.21,538.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItems,10,36,10,96,23.34,0.000%,.49980,0.17,0.27,347.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/CustomerNVendorItemsDetails,10,189,108,273,58.26,0.000%,.49793,1.13,0.27,2315.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetInvoicedata,10,6,2,26,8.31,0.000%,.50098,0.12,0.25,253.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GoodsInwardNotes,10,82,51,161,32.76,0.000%,.50018,0.15,1.14,316.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SendMailToSalePerson,10,40,5,317,92.24,0.000%,.50143,0.12,0.34,252.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinApproversServiceGRN?TypeId=20&PlantId=2&GinId=GIN26200056,10,16,4,113,32.19,0.000%,.50148,1.24,0.22,2538.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/SentforQualityCheck,10,5746,248,16268,6846.99,10.000%,.49427,2.38,0.62,4934.8
http://192.168.2.5/ACCSSPLDRYRUN/Store/ListGoodsInwardNotes,10,212,130,498,101.87,100.000%,.13612,9.50,4.42,71475.0
http://192.168.2.5/ACCSSPLDRYRUN/Store/GetGinDetailsByDate,10,1322,35,12545,3741.21,0.000%,.13617,0.16,0.07,1233.0
Test,10,11104,3265,19712,7234.84,100.000%,.11787,264.88,12.59,2301146.1
TOTAL,290,765,1,19712,3104.06,17.931%,3.41824,529.76,25.17,158699.7
